Wavenumber,Reflectivity,,,,Wavelength um,Ref decimal,,new column for sorting,Wavelength,ref
929.5602,5.29877,,,,10.75777556,0.0529877,,,2.670055858,0.0519404
931.4886,5.32702,,,,10.73550444,0.0532702,,,2.671431075,0.0515423
933.4172,5.35581,,,,10.71332305,0.0535581,,,2.672808424,0.0506434
935.3458,5.38873,,,,10.69123312,0.0538873,,,2.674186479,0.0503965
937.2743,5.42313,,,,10.66923525,0.0542313,,,2.675566672,0.0506351
939.2029,5.47099,,,,10.64732658,0.0547099,,,2.67694829,0.0508589
941.1315,5.52522,,,,10.6255077,0.0552522,,,2.678330618,0.0506735
943.0599,5.58283,,,,10.60378031,0.0558283,,,2.679715093,0.0503574
944.9885,5.63243,,,,10.58213936,0.0563243,,,2.681100281,0.0499344
946.9171,5.67599,,,,10.56058656,0.0567599,,,2.682487621,0.0498878
948.8456,5.72029,,,,10.53912249,0.0572029,,,2.683875678,0.0499015
950.7742,5.74661,,,,10.51774438,0.0574661,,,2.685265892,0.0497185
952.7028,5.76219,,,,10.49645283,0.0576219,,,2.686656826,0.0496799
954.6312,5.76056,,,,10.4752495,0.0576056,,,2.688049925,0.0497075
956.5598,5.74674,,,,10.45412948,0.0574674,,,2.689444468,0.0496906
958.4884,5.73534,,,,10.43309444,0.0573534,,,2.690839736,0.0498003
960.4169,5.70957,,,,10.41214498,0.0570957,,,2.692236452,0.0501521
962.3455,5.65383,,,,10.39127839,0.0565383,,,2.693635344,0.0505718
964.274,5.58995,,,,10.37049635,0.0558995,,,2.69503569,0.0505017
966.2025,5.51758,,,,10.34979727,0.0551758,,,2.696436767,0.0501972
968.1311,5.4093,,,,10.32917959,0.054093,,,2.697840028,0.050057
970.0597,5.25521,,,,10.30864389,0.0525521,,,2.699244023,0.0500831
971.9882,5.10952,,,,10.28819074,0.0510952,,,2.700650209,0.0502415
973.9167,5.07043,,,,10.26781859,0.0507043,,,2.70205713,0.0503081
975.8453,5.12343,,,,10.24752591,0.0512343,,,2.703466249,0.0502862
977.7738,5.18523,,,,10.22731433,0.0518523,,,2.704876107,0.0502534
979.7024,5.23996,,,,10.20718128,0.0523996,,,2.706288169,0.0501937
981.631,5.28111,,,,10.18712734,0.0528111,,,2.707701706,0.0503325
983.5594,5.30318,,,,10.16715411,0.0530318,,,2.709115986,0.0508101
985.488,5.3105,,,,10.14725699,0.053105,,,2.710532479,0.0511828
987.4166,5.30461,,,,10.1274376,0.0530461,,,2.711949718,0.050731
989.3451,5.29487,,,,10.1076965,0.0529487,,,2.713369177,0.0501626
991.2737,5.28742,,,,10.08803119,0.0528742,,,2.714789385,0.0500421
993.2023,5.25548,,,,10.06844225,0.0525548,,,2.716211819,0.0500155
995.1307,5.19436,,,,10.04893126,0.0519436,,,2.717635005,0.0500073
997.0593,5.15145,,,,10.02949373,0.0515145,,,2.719060423,0.0502247
998.9879,5.19227,,,,10.01013125,0.0519227,,,2.720486597,0.0506444
