Wavenumber,Transmissivity,,,,,,,,,wavelength,trans
927.6316,92.97634,,,,10.7801416,0.9297634,,,,2.668681343,0.8981179
929.5602,92.89188,,,,10.75777556,0.9289188,,,,2.670055858,0.9009471
931.4886,92.74604,,,,10.73550444,0.9274604,,,,2.671431075,0.8986017
933.4172,92.54005,,,,10.71332305,0.9254005,,,,2.672808424,0.8966078
935.3458,92.24621,,,,10.69123312,0.9224621,,,,2.674186479,0.8972672
937.2743,91.89681,,,,10.66923525,0.9189681,,,,2.675566672,0.8997387
939.2029,91.56433,,,,10.64732658,0.9156433,,,,2.67694829,0.9007722
941.1315,91.29221,,,,10.6255077,0.9129221,,,,2.678330618,0.9002574
943.0599,91.0594,,,,10.60378031,0.910594,,,,2.679715093,0.8990444
944.9885,90.82267,,,,10.58213936,0.9082267,,,,2.681100281,0.8973358
946.9171,90.58455,,,,10.56058656,0.9058455,,,,2.682487621,0.8976257
948.8456,90.3291,,,,10.53912249,0.903291,,,,2.683875678,0.8981312
950.7742,90.00919,,,,10.51774438,0.9000919,,,,2.685265892,0.8980166
952.7028,89.67098,,,,10.49645283,0.8967098,,,,2.686656826,0.8972471
954.6312,89.37633,,,,10.4752495,0.8937633,,,,2.688049925,0.8964466
956.5598,89.05576,,,,10.45412948,0.8905576,,,,2.689444468,0.896221
958.4884,88.71535,,,,10.43309444,0.8871535,,,,2.690839736,0.8960622
960.4169,88.40806,,,,10.41214498,0.8840806,,,,2.692236452,0.8972627
962.3455,88.11343,,,,10.39127839,0.8811343,,,,2.693635344,0.8981715
964.274,87.75636,,,,10.37049635,0.8775636,,,,2.69503569,0.8964971
966.2025,87.14511,,,,10.34979727,0.8714511,,,,2.696436767,0.8942135
968.1311,85.96005,,,,10.32917959,0.8596005,,,,2.697840028,0.8927892
970.0597,84.03646,,,,10.30864389,0.8403646,,,,2.699244023,0.8923343
971.9882,82.40468,,,,10.28819074,0.8240468,,,,2.700650209,0.8924014
973.9167,82.66711,,,,10.26781859,0.8266711,,,,2.70205713,0.8914727
975.8453,84.51679,,,,10.24752591,0.8451679,,,,2.703466249,0.8901369
977.7738,86.57321,,,,10.22731433,0.8657321,,,,2.704876107,0.8897132
979.7024,88.19182,,,,10.20718128,0.8819182,,,,2.706288169,0.889663
981.631,89.36679,,,,10.18712734,0.8936679,,,,2.707701706,0.8909012
983.5594,90.10948,,,,10.16715411,0.9010948,,,,2.709115986,0.892763
985.488,90.43973,,,,10.14725699,0.9043973,,,,2.710532479,0.8934703
987.4166,90.40221,,,,10.1274376,0.9040221,,,,2.711949718,0.8912006
989.3451,90.06559,,,,10.1076965,0.9006559,,,,2.713369177,0.889314
991.2737,89.4163,,,,10.08803119,0.894163,,,,2.714789385,0.8889216
993.2023,88.20901,,,,10.06844225,0.8820901,,,,2.716211819,0.8890726
995.1307,86.34168,,,,10.04893126,0.8634168,,,,2.717635005,0.8895452
997.0593,84.83386,,,,10.02949373,0.8483386,,,,2.719060423,0.8917545
998.9879,85.10877,,,,10.01013125,0.8510877,,,,2.720486597,0.8939938
1000.916,86.70081,,,,9.990848383,0.8670081,,,,2.721915009,0.8912711
1002.845,88.07094,,,,9.971630711,0.8807094,,,,2.723344921,0.8911668
1004.774,88.71718,,,,9.952486828,0.8871718,,,,2.724775594,0.8914561
1006.702,88.88615,,,,9.933426178,0.8888615,,,,2.726208515,0.8892215
1008.631,88.78195,,,,9.914428567,0.8878195,,,,2.727642199,0.8874026
1010.559,88.5596,,,,9.895513275,0.885596,,,,2.729078137,0.886579
1012.488,88.33127,,,,9.876660267,0.8833127,,,,2.730514841,0.8860844
1014.416,88.08672,,,,9.857888677,0.8808672,,,,2.731953806,0.8853882
1016.345,87.87883,,,,9.839178625,0.8787883,,,,2.733393541,0.8852914
1018.273,87.771,,,,9.820549106,0.87771,,,,2.734835542,0.8850227
1020.202,87.7803,,,,9.801980392,0.877803,,,,2.736279065,0.8827976
1022.13,87.84926,,,,9.783491337,0.8784926,,,,2.737723364,0.8825018
1024.059,87.95211,,,,9.765062365,0.8795211,,,,2.739169938,0.8834174
1025.988,88.06508,,,,9.74670269,0.8806508,,,,2.740617291,0.8815451
1027.916,88.18198,,,,9.728421389,0.8818198,,,,2.742066926,0.8770747
1029.845,88.29731,,,,9.710199108,0.8829731,,,,2.743517343,0.8736483
1031.773,88.40821,,,,9.692054357,0.8840821,,,,2.744970048,0.8732427
1033.702,88.50331,,,,9.673967933,0.8850331,,,,2.746423539,0.8745319
1035.63,88.59621,,,,9.655958209,0.8859621,,,,2.747879324,0.8765946
1037.559,88.68723,,,,9.638006128,0.8868723,,,,2.749336654,0.8793036
1039.487,88.74637,,,,9.620129929,0.8874637,,,,2.750794773,0.882215
1041.416,88.72423,,,,9.6023107,0.8872423,,,,2.75225444,0.8844238
1043.344,88.66772,,,,9.584566548,0.8866772,,,,2.753716416,0.8872247
1045.273,88.66925,,,,9.566878701,0.8866925,,,,2.755179945,0.8900972
1047.202,88.66827,,,,9.549256017,0.8866827,,,,2.756644271,0.8875178
1049.13,88.48648,,,,9.531707224,0.8848648,,,,2.758110915,0.8847321
1051.059,88.4137,,,,9.51421376,0.884137,,,,2.759578359,0.883627
1052.987,88.69377,,,,9.496793408,0.8869377,,,,2.761048127,0.8836583
1054.916,88.92661,,,,9.479427746,0.8892661,,,,2.762518699,0.8829922
1056.844,88.91559,,,,9.46213443,0.8891559,,,,2.763991602,0.8794065
1058.773,88.7593,,,,9.444895176,0.887593,,,,2.765465312,0.8750494
1060.701,88.51606,,,,9.427727512,0.8851606,,,,2.766941359,0.8708033
1062.63,88.28515,,,,9.41061329,0.8828515,,,,2.768418984,0.8651219
1064.558,88.14651,,,,9.393569914,0.8814651,,,,2.76989742,0.8597113
1066.487,88.07893,,,,9.376579368,0.8807893,,,,2.771378204,0.8539544
1068.416,87.93285,,,,9.359650174,0.8793285,,,,2.772859803,0.8482092
1070.344,87.62368,,,,9.342790729,0.8762368,,,,2.774343757,0.8454158
1072.273,87.16409,,,,9.325983215,0.8716409,,,,2.775828529,0.8480891
1074.201,86.60877,,,,9.309244732,0.8660877,,,,2.777315663,0.8563377
1076.13,86.03165,,,,9.292557591,0.8603165,,,,2.778803619,0.8675371
1078.058,85.54207,,,,9.275938771,0.8554207,,,,2.780293944,0.8790504
1079.987,85.2021,,,,9.259370715,0.852021,,,,2.781785868,0.88897
1081.915,85.11315,,,,9.242870281,0.8511315,,,,2.783278619,0.8961967
1083.844,85.27624,,,,9.226420038,0.8527624,,,,2.784773748,0.901965
1085.773,85.61042,,,,9.210028247,0.8561042,,,,2.786269709,0.907451
1087.701,85.98978,,,,9.193703049,0.8598978,,,,2.787768054,0.9106098
1089.63,86.36131,,,,9.1774272,0.8636131,,,,2.789267234,0.9116216
1091.558,86.7038,,,,9.161217269,0.867038,,,,2.790768807,0.9127036
1093.487,87.03951,,,,9.145056137,0.8703951,,,,2.792271217,0.9141051
1095.415,87.3494,,,,9.128960257,0.873494,,,,2.793776026,0.9152812
1097.344,87.59399,,,,9.112912633,0.8759399,,,,2.795281676,0.9162307
1099.272,87.73622,,,,9.096929604,0.8773622,,,,2.796789733,0.9169653
1101.201,87.8733,,,,9.080994296,0.878733,,,,2.798299417,0.9175617
1103.129,88.11521,,,,9.065122937,0.8811521,,,,2.799809949,0.9184158
1105.058,88.48308,,,,9.04929877,0.8848308,,,,2.801322897,0.9202702
1106.987,88.83144,,,,9.033529752,0.8883144,,,,2.802836695,0.9224273
1108.915,89.08845,,,,9.017823729,0.8908845,,,,2.804352917,0.9227566
1110.844,89.27224,,,,9.00216412,0.8927224,,,,2.805869992,0.9222579
1112.772,89.4284,,,,8.98656688,0.894284,,,,2.807389498,0.9226131
1114.701,89.52821,,,,8.971015546,0.8952821,,,,2.808909862,0.9234782
1116.629,89.58591,,,,8.955525963,0.8958591,,,,2.810432663,0.9238808
1118.558,89.58657,,,,8.940081784,0.8958657,,,,2.811957117,0.9245528
1120.486,89.55933,,,,8.924698747,0.8955933,,,,2.813482433,0.9258344
1122.415,89.47282,,,,8.90936062,0.8947282,,,,2.815010197,0.9267604
1124.344,89.3287,,,,8.894075123,0.893287,,,,2.816538829,0.9270776
1126.272,89.11908,,,,8.878849869,0.8911908,,,,2.818069915,0.9279943
1128.201,88.85971,,,,8.863668797,0.8885971,,,,2.819601872,0.9290659
1130.129,88.57186,,,,8.848547378,0.8857186,,,,2.821136292,0.9293353
1132.058,88.32285,,,,8.833469663,0.8832285,,,,2.822671585,0.9290823
1133.986,88.0946,,,,8.818451021,0.880946,,,,2.824209348,0.9289293
1135.915,87.83331,,,,8.803475612,0.8783331,,,,2.825748788,0.9290738
1137.843,87.46397,,,,8.788558703,0.8746397,,,,2.827289108,0.9294402
1139.772,87.01708,,,,8.773684561,0.8701708,,,,2.828831107,0.9297017
1141.7,86.53865,,,,8.758868354,0.8653865,,,,2.830375591,0.9300727
1143.629,86.0412,,,,8.744094457,0.860412,,,,2.831921762,0.9305775
1145.557,85.49329,,,,8.729377936,0.8549329,,,,2.83346882,0.9308759
1147.486,84.9522,,,,8.714703273,0.849522,,,,2.835018374,0.9309035
1149.415,84.45052,,,,8.700077866,0.8445052,,,,2.836568818,0.9310543
1151.343,84.06075,,,,8.68550901,0.8406075,,,,2.838121765,0.9312264
1153.272,83.81592,,,,8.670981347,0.8381592,,,,2.839675607,0.9308588
1155.2,83.67346,,,,8.656509695,0.8367346,,,,2.841231958,0.9303004
1157.129,83.49779,,,,8.6420788,0.8349779,,,,2.842789208,0.9301208
1159.057,83.21388,,,,8.627703383,0.8321388,,,,2.844348975,0.9301682
1160.986,82.73802,,,,8.613368292,0.8273802,,,,2.845910455,0.9300236
1162.914,81.99579,,,,8.599088153,0.8199579,,,,2.847472839,0.9298073
1164.843,81.09825,,,,8.584847915,0.8109825,,,,2.849037752,0.9292819
1166.771,80.6782,,,,8.570662109,0.806782,,,,2.850603573,0.9283374
1168.7,81.40485,,,,8.556515787,0.8140485,,,,2.852171929,0.9280775
1170.629,83.11736,,,,8.542416086,0.8311736,,,,2.853741198,0.9286317
1172.557,84.81265,,,,8.528370049,0.8481265,,,,2.855313009,0.9286163
1174.486,85.80044,,,,8.514362879,0.8580044,,,,2.856885737,0.9280187
1176.414,86.14597,,,,8.50040887,0.8614597,,,,2.858461016,0.9277345
1178.343,86.50395,,,,8.486493322,0.8650395,,,,2.860037215,0.9274892
1180.271,86.93238,,,,8.472630438,0.8693238,,,,2.861615972,0.9272979
1182.2,87.11532,,,,8.458805617,0.8711532,,,,2.863196473,0.9271955
1184.128,87.14748,,,,8.445032969,0.8714748,,,,2.864777899,0.927029
1186.057,87.16371,,,,8.43129799,0.8716371,,,,2.866361896,0.9268732
1187.986,87.16119,,,,8.417607615,0.8716119,,,,2.867946823,0.926712
1189.914,87.16662,,,,8.40396869,0.8716662,,,,2.869534326,0.9267534
1191.843,87.18497,,,,8.390366852,0.8718497,,,,2.871122764,0.9267145
1193.771,87.22732,,,,8.376815989,0.8722732,,,,2.872713787,0.9264687
1195.7,87.22278,,,,8.363301832,0.8722278,,,,2.874305747,0.9261005
1197.628,87.1582,,,,8.34983818,0.871582,,,,2.875900301,0.9257909
1199.557,87.03544,,,,8.336410858,0.8703544,,,,2.877496624,0.9256611
1201.485,86.89381,,,,8.323033579,0.8689381,,,,2.879093892,0.9254936
1203.414,86.73001,,,,8.309692259,0.8673001,,,,2.880693763,0.9253871
1205.343,86.53122,,,,8.296393641,0.8653122,,,,2.882294583,0.925153
1207.271,86.30474,,,,8.283144381,0.8630474,,,,2.883898015,0.9246325
1209.2,86.10995,,,,8.269930533,0.8610995,,,,2.885502399,0.9241069
1211.128,85.98061,,,,8.256765594,0.8598061,,,,2.887109403,0.9236467
1213.057,85.90413,,,,8.243635707,0.8590413,,,,2.888717363,0.922914
1214.985,85.7967,,,,8.230554287,0.857967,,,,2.890327951,0.9222079
1216.914,85.70432,,,,8.217507564,0.8570432,,,,2.891940336,0.9216217
1218.842,85.66065,,,,8.20450887,0.8566065,,,,2.893553683,0.9210423
1220.771,85.68108,,,,8.191544524,0.8568108,,,,2.895168832,0.920248
1222.699,85.73036,,,,8.178627773,0.8573036,,,,2.896786624,0.9194201
1224.628,85.81361,,,,8.165745026,0.8581361,,,,2.898406224,0.9189498
1226.557,85.88413,,,,8.1529028,0.8588413,,,,2.900026796,0.9188953
1228.485,85.97242,,,,8.140107531,0.8597242,,,,2.901650023,0.9186047
1230.414,86.01378,,,,8.127345755,0.8601378,,,,2.903274226,0.9179305
1232.342,86.0162,,,,8.114630517,0.860162,,,,2.904901091,0.9172699
1234.271,86.00636,,,,8.101948438,0.8600636,,,,2.906528936,0.9166078
1236.199,85.99393,,,,8.089312481,0.8599393,,,,2.908159452,0.9161968
1238.128,85.9341,,,,8.076709355,0.859341,,,,2.909790952,0.9159097
1240.056,85.83112,,,,8.064151942,0.8583112,,,,2.911425131,0.9155048
1241.985,85.65782,,,,8.051627033,0.8565782,,,,2.913061147,0.9153236
1243.913,85.43594,,,,8.039147432,0.8543594,,,,2.914698152,0.9152814
1245.842,85.14361,,,,8.026700015,0.8514361,,,,2.91633785,0.9153527
1247.771,84.79038,,,,8.014291084,0.8479038,,,,2.917978541,0.9155555
1249.699,84.34826,,,,8.001926864,0.8434826,,,,2.919621932,0.9157952
1251.628,83.77446,,,,7.989594352,0.8377446,,,,2.921266322,0.9161103
1253.556,83.0145,,,,7.977306159,0.830145,,,,2.92291342,0.916367
1255.485,82.39353,,,,7.965049363,0.8239353,,,,2.92456152,0.9164341
1257.413,82.20269,,,,7.952836498,0.8220269,,,,2.926212337,0.9165319
1259.342,82.23205,,,,7.940654723,0.8223205,,,,2.927865018,0.9165495
1261.27,82.11788,,,,7.928516495,0.8211788,,,,2.929518709,0.9166482
1263.199,81.83253,,,,7.916409054,0.8183253,,,,2.931175129,0.91684
1265.127,81.4176,,,,7.904344781,0.814176,,,,2.932832562,0.9168127
1267.056,80.97045,,,,7.892310995,0.8097045,,,,2.934492732,0.9167122
1268.985,80.53887,,,,7.880313794,0.8053887,,,,2.93615392,0.9167289
1270.913,80.18073,,,,7.868359203,0.8018073,,,,2.937817854,0.9170427
1272.842,79.88946,,,,7.856434656,0.7988946,,,,2.93948281,0.9174255
1274.77,79.68825,,,,7.844552351,0.7968825,,,,2.941150519,0.9172989
1276.699,79.49615,,,,7.832699798,0.7949615,,,,2.942819256,0.9167542
1278.627,79.28909,,,,7.820889126,0.7928909,,,,2.944490755,0.9162617
1280.556,79.02803,,,,7.809107919,0.7902803,,,,2.946164153,0.915943
1282.484,78.71085,,,,7.797368232,0.7871085,,,,2.947838586,0.9156934
1284.413,78.28989,,,,7.785657728,0.7828989,,,,2.949515793,0.9150496
1286.342,77.79446,,,,7.773982347,0.7779446,,,,2.951194038,0.9143729
1288.27,77.19082,,,,7.762347955,0.7719082,,,,2.952875067,0.9136649
1290.199,76.45584,,,,7.750742327,0.7645584,,,,2.954557138,0.91284
1292.127,75.5232,,,,7.739177341,0.755232,,,,2.956242002,0.9120798
1294.056,74.47616,,,,7.727640844,0.7447616,,,,2.957927912,0.9113878
1295.984,73.47736,,,,7.716144644,0.7347736,,,,2.959616623,0.9106918
1297.913,72.68047,,,,7.704676662,0.7268047,,,,2.961307263,0.9098816
1299.841,72.03998,,,,7.693248636,0.7203998,,,,2.962998958,0.9089906
1301.77,71.47514,,,,7.68184856,0.7147514,,,,2.964692587,0.9083654
1303.698,71.09903,,,,7.670488104,0.7109903,,,,2.966389032,0.9084236
1305.627,71.31738,,,,7.659155333,0.7131738,,,,2.968087421,0.9087095
1307.556,72.04398,,,,7.647856,0.7204398,,,,2.969786873,0.9090916
1309.484,72.9079,,,,7.636595789,0.729079,,,,2.971489156,0.9095757
1311.413,73.81642,,,,7.625362872,0.7381642,,,,2.973192507,0.9101769
1313.341,74.80625,,,,7.61416875,0.7480625,,,,2.974898697,0.9109421
1315.27,75.77526,,,,7.603001665,0.7577526,,,,2.976605961,0.9114503
1317.198,76.74319,,,,7.591873052,0.7674319,,,,2.978316072,0.9117661
1319.127,77.66943,,,,7.580771222,0.7766943,,,,2.980027261,0.9122725
1321.055,78.49061,,,,7.569707544,0.7849061,,,,2.981741307,0.9129597
1322.984,79.04234,,,,7.5586704,0.7904234,,,,2.983457326,0.9137699
1324.912,79.32413,,,,7.547671091,0.7932413,,,,2.98517443,0.9143452
1326.841,79.39275,,,,7.536698067,0.7939275,,,,2.986894403,0.9146752
1328.77,79.33494,,,,7.525756903,0.7933494,,,,2.988615467,0.9151302
1330.698,79.15381,,,,7.514853107,0.7915381,,,,2.99033941,0.9155975
